Project  Name,Floor,product_id,Status ,Bedrooms,Bathrooms,View Orientation,Size per m sqaured,Initial Price (posted) in UF Chileno,Initial Price per m squared,Sold Price in UF Chileno,Sold Price per m squared,Region,Date
COSTANERA HUAYQUIQUE I,52,2601,Sold,3,2,NW,196,7044,35.94,7044,35.94,Norte,8/2/2021
COSTANERA HUAYQUIQUE ETAPA II,26,2601,Available,3,2,NENW,99,5865,59.24,5865,59.24,Norte,10/31/2022 16:43
COSTANERA HUAYQUIQUE ETAPA II,26,2602,Available,3,2,W,91,5520,60.66,5520,60.66,Norte,10/31/2022 16:08
COSTANERA HUAYQUIQUE ETAPA II,26,2603,Available,3,2,W,91,5546,60.95,5546,60.95,Norte,10/30/2022 12:47
COSTANERA HUAYQUIQUE ETAPA II,26,2604,Available,4,3,SESW,115,6782,58.97,6782,58.97,Norte,10/31/2022 16:46
COSTANERA HUAYQUIQUE ETAPA II,26,2605,Sold,1,1,E,42,2271,54.07,2271,54.07,Norte,3/19/2020
COSTANERA HUAYQUIQUE I,26,2602,Sold,2,2,W,80,3750,46.88,3750,46.88,Norte,1/30/2019
COSTANERA HUAYQUIQUE I,26,2603,Sold,2,2,W,80,3754,46.93,3754,46.93,Norte,9/30/2019
COSTANERA HUAYQUIQUE I,26,2604,Sold,3,2,SW,98,4757,48.54,4757,48.54,Norte,5/19/2020
VISTA PACIFICO,26,2601,Available,4,4,N,151,12110,80.2,12110,80.2,Norte,12/16/2021 18:37
VISTA PACIFICO,26,2602,Available,4,3,NW,177,14154,79.97,14154,79.97,Norte,4/10/2022 16:15
VISTA PACIFICO,26,2603,Available,4,3,SW,177,13446,75.97,13446,75.97,Norte,4/17/2022 8:25
VISTA PACIFICO,26,2604,Available,4,4,S,151,11505,76.19,,,Norte,
VISTA PACIFICO,26,2605,Available,4,4,SE,174,13977,80.33,13977,80.33,Norte,4/14/2022 13:15
VISTA PACIFICO,26,2606,Available,4,4,NE,174,13977,80.33,,,Norte,
ARQ. SAN MIGUEL,25,2501,Sold,3,2,NW,87,4350,50,4350,50,Santiago,2/17/2021
ARQ. SAN MIGUEL,25,2502,Sold,3,2,NE,87,3522,40.48,3522,40.48,Santiago,2/28/2019
ARQ. SAN MIGUEL,25,2503,Sold,2,2,E,73,2847,39,2847,39,Santiago,2/28/2019
ARQ. SAN MIGUEL,25,2504,Sold,3,2,SE,87,3481,40.01,3481,40.01,Santiago,2/28/2019
ARQ. SAN MIGUEL,25,2505,Sold,3,2,SW,87,2899,33.32,2899,33.32,Santiago,2/28/2019
COSTANERA HUAYQUIQUE ETAPA II,25,2501,Reserved,3,2,NENW,99,5827,58.86,5827,58.86,Norte,10/14/2022 17:28
COSTANERA HUAYQUIQUE ETAPA II,25,2502,Sold,3,2,W,91,4512,49.58,4512,49.58,Norte,6/11/2021
COSTANERA HUAYQUIQUE ETAPA II,25,2503,Sold,3,2,W,91,5142,56.51,5142,56.51,Norte,7/19/2022
COSTANERA HUAYQUIQUE ETAPA II,25,2504,Available,4,3,SESW,115,7065,61.43,7065,61.43,Norte,10/30/2022 10:19
COSTANERA HUAYQUIQUE ETAPA II,25,2505,Sold,1,1,E,42,2240,53.33,2240,53.33,Norte,6/11/2021
COSTANERA HUAYQUIQUE I,25,2501,Sold,3,2,NW,98,3537,36.09,3537,36.09,Norte,1/30/2019
COSTANERA HUAYQUIQUE I,25,2502,Sold,2,2,W,80,3141,39.26,3141,39.26,Norte,1/30/2019
COSTANERA HUAYQUIQUE I,25,2503,Sold,2,2,W,80,3754,46.93,3754,46.93,Norte,7/25/2019
COSTANERA HUAYQUIQUE I,25,2504,Sold,3,2,SW,98,4401,44.91,4401,44.91,Norte,1/30/2019
VISTA PACIFICO,25,2501,Available,4,4,N,133,8908,66.98,,,Norte,
VISTA PACIFICO,25,2502,Available,4,3,NW,147,11304,76.9,11304,76.9,Norte,12/17/2021 18:34
VISTA PACIFICO,25,2503,Available,4,3,SW,147,10669,72.58,,,Norte,
VISTA PACIFICO,25,2504,Available,4,4,S,133,8461,63.62,8461,63.62,Norte,4/20/2022 20:58
VISTA PACIFICO,25,2505,Available,4,4,SE,146,10252,70.22,,,Norte,
VISTA PACIFICO,25,2506,Available,4,4,NE,146,9771,66.92,,,Norte,
ARQ. SAN MIGUEL,24,2401,Sold,3,2,NW,87,3690,42.41,3690,42.41,Santiago,2/27/2019
ARQ. SAN MIGUEL,24,2402,Sold,3,2,NE,87,3800,43.68,3800,43.68,Santiago,2/27/2019
ARQ. SAN MIGUEL,24,2403,Sold,2,2,E,73,3080,42.19,3080,42.19,Santiago,2/27/2019
ARQ. SAN MIGUEL,24,2404,Sold,3,2,SE,87,4276,49.15,4276,49.15,Santiago,4/23/2019
ARQ. SAN MIGUEL,24,2405,Sold,3,2,SW,87,3850,44.25,3850,44.25,Santiago,6/18/2020
ARQ. SAN MIGUEL,24,2406,Sold,2,2,W,73,3476,47.62,3476,47.62,Santiago,2/28/2019
COSTANERA HUAYQUIQUE ETAPA II,24,2401,Available,3,2,NENW,99,5868,59.27,5868,59.27,Norte,10/16/2022 16:25
COSTANERA HUAYQUIQUE ETAPA II,24,2402,Available,3,2,W,91,5516,60.62,5516,60.62,Norte,10/13/2022 16:58
COSTANERA HUAYQUIQUE ETAPA II,24,2403,Available,3,2,W,91,5583,61.35,5583,61.35,Norte,10/30/2022 12:46
COSTANERA HUAYQUIQUE ETAPA II,24,2404,Available,4,3,SESW,115,7120,61.91,7120,61.91,Norte,11/1/2022 13:16
COSTANERA HUAYQUIQUE ETAPA II,24,2405,Sold,1,1,E,42,2522,60.05,2522,60.05,Norte,4/6/2022
COSTANERA HUAYQUIQUE I,24,2401,Sold,3,2,NW,98,4235,43.21,4235,43.21,Norte,1/30/2019
COSTANERA HUAYQUIQUE I,24,2402,Sold,2,2,W,80,3750,46.88,3750,46.88,Norte,1/30/2019
COSTANERA HUAYQUIQUE I,24,2403,Sold,2,2,W,80,3677,45.96,3677,45.96,Norte,1/30/2019
COSTANERA HUAYQUIQUE I,24,2404,Sold,3,2,SW,98,4757,48.54,4757,48.54,Norte,3/5/2021
MIRADOR DE LA RECOLETA,24,1206,Sold,3,2,SE,155,8128,52.44,8128,52.44,Santiago,7/11/2022
MIRADOR DE LA RECOLETA,24,2401,Sold,3,2,NW,78,3598,46.13,3598,46.13,Santiago,1/15/2019
MIRADOR DE LA RECOLETA,24,2402,Sold,2,2,N,60,2745,45.75,2745,45.75,Santiago,1/15/2019
MIRADOR DE LA RECOLETA,24,2403,Sold,1,1,N,40,2020,50.5,2020,50.5,Santiago,1/15/2019
MIRADOR DE LA RECOLETA,24,2404,Sold,2,2,N,60,3040,50.67,3040,50.67,Santiago,6/17/2022
MIRADOR DE LA RECOLETA,24,2405,Sold,3,2,NE,78,3975,50.96,3975,50.96,Santiago,1/15/2019
